ITEM NUMBER,DESCRIPTION,QTY,U/M,UNIT PRICE,EXT PRICE
PERR11476903,"WATER,ECO,POLAND SPRING,1/2L,24/CT",4,CT,8.99,35.96
KCC55082,"GLOVES.NITRILE MEDIUM,PE",2,BX,17.99,35.98
GMT6812,"COFFEE.K-CUP.CAFE VANILLA,24/BX",2,BX,17.49,34.98
GMT6570,"COFFEE.KCUP,OUR BLEND,24/BX",2,BX,13.99,27.98
KLF53676,"WALLET,EXP,15X10,5.25"",ELAS&RIVET,EA, 25EA/CT",25,EA,6.29,157.25
UNV35720,"ROLL,2-1/4X150,BOND,3RL/PK.25PK/CT",1,PK,4.99,4.99
EVEE91SBP36H,"BATTERY,ENERGIZER.AA,36PK,(6 PK/CT)",1,PK,24.99,24.99
MMMR33010SSAU,"NOTE,3X3,POPUP,SS1OPK,ULT",1,PK,19.99,19.99
MMM653AST,"COLOR NOTES, 1-1/2 X 2,PASTEL,12 PADS/PK",1,PK,9.99,9.99
WBM21200,"PAPER.XERO/DUP,WE.LTR.20#",2,CT,31.99,63.98
QUA21418,"ENVELOPE,SELF SEAL.#10.WE",2,BX,96.99,193.98
BICGSFG11BK,"PEN,BPT,RNDSTC,GRP,FN,BK",2,DZ,2.99,5.98
BICGSFGHBE,"PEN,BPT,RNDSTC,GRP,FN,BE",2,DZ,2.99,5.98
HEWCF280A,TONER.F/M401/425-2.7K,3,EA,103.99,311.97
